SlopeFEM_2D 计算结果导出
导出时间:,2025-06-10 22:37:13

目标点位移结果
点名称,水平位移 (m),竖直位移 (m)
A,-3.181601e-03,-1.871507e-03
B,1.556304e-02,-1.455115e-03

节点位移结果
节点ID,X坐标 (m),Y坐标 (m),水平位移 (m),竖直位移 (m)
223,28.957495,-16.229527,1.394823e-02,1.214593e-04
224,25.604375,-12.496210,1.560629e-02,-1.864611e-03
225,-7.234232,-14.696484,-4.300944e-03,-2.057307e-02
226,-4.000615,-0.472329,7.083971e-04,-9.229945e-02
227,-7.961357,-0.198981,-1.649576e-03,-8.268739e-02
228,-10.397500,3.950000,8.055265e-03,-1.001937e-01
229,14.009230,-16.496886,1.799988e-02,-9.707141e-03
230,2.483054,-3.168609,1.047333e-02,-7.583539e-02
231,11.132555,-16.352975,1.664843e-02,-1.252746e-02
232,-36.932811,-11.367500,-1.500810e-03,2.662813e-03
233,-17.461629,-16.945160,-1.106273e-02,-7.239227e-03
234,43.100000,-20.174661,2.344590e-03,6.594618e-04
235,22.505590,-17.843118,1.765784e-02,-2.467342e-03
236,25.663132,-15.815916,1.601410e-02,-1.473096e-03
237,13.840000,-22.500000,1.781879e-02,-3.919867e-15
238,29.800000,-22.500000,1.344049e-02,-8.432630e-16
239,6.285000,4.310000,2.751750e-03,-1.176640e-01
240,10.109985,0.949593,1.323520e-02,-8.259162e-02
241,15.619761,-0.761854,2.149143e-02,-3.658667e-02
242,13.095607,0.836689,1.634272e-02,-6.485398e-02
243,-10.167961,-11.447106,-7.319578e-03,-2.599503e-02
244,32.850424,-17.374880,1.101208e-02,7.961663e-04
245,-11.442152,1.114577,-8.446026e-04,-7.823509e-02
246,-0.001427,0.000718,6.095420e-03,-1.074302e-01
247,-28.407146,-15.674555,-7.690684e-03,-6.900625e-04
248,19.339939,-15.828602,1.858249e-02,-5.647690e-03
249,26.876567,-19.477457,1.552546e-02,-3.274280e-04
250,4.215913,0.656160,9.827606e-03,-1.005285e-01
251,19.160000,-22.500000,1.812109e-02,-2.165730e-15
252,28.215113,-13.523826,1.415008e-02,-1.703725e-04
253,-28.720000,-22.500000,-7.911218e-03,-8.781913e-16
254,-34.139573,-9.977993,-2.859951e-03,2.294887e-03
255,-34.241789,-13.274803,-3.495825e-03,1.765281e-03
256,9.582500,4.310000,4.343441e-04,-1.041329e-01
257,15.943316,-18.631197,1.847834e-02,-5.235728e-03
258,19.437797,-19.169367,1.854917e-02,-2.659784e-03
259,30.181763,-19.256870,1.315138e-02,2.241951e-04
260,7.214565,-0.233907,1.331934e-02,-8.507984e-02
261,2.987500,4.310000,5.513756e-03,-1.294870e-01
262,-0.707720,-17.305144,3.689500e-03,-1.524328e-02
263,-15.993246,-14.378685,-1.055646e-02,-1.240137e-02
264,-12.760000,-22.500000,-9.111685e-03,-4.159140e-15
265,-10.213386,-14.437179,-7.091019e-03,-1.879210e-02
266,-10.767922,-18.695611,-7.605407e-03,-8.508804e-03
267,8.520000,-22.500000,1.447761e-02,-6.642671e-15
268,12.874289,-19.468834,1.744100e-02,-5.563457e-03
269,16.500000,-22.500000,1.845093e-02,-2.082790e-15
270,-1.272589,-13.860261,2.819271e-03,-2.570645e-02
271,-4.001202,-16.076435,-6.046050e-04,-1.845840e-02
272,2.863976,-14.950727,8.252367e-03,-2.168145e-02
273,-6.950186,-18.508246,-4.112267e-03,-1.063212e-02
274,-2.120000,-22.500000,1.929889e-03,-8.001041e-15
275,-3.680206,-19.469675,-1.568579e-04,-8.601704e-03
276,-14.470481,-19.180600,-1.003140e-02,-5.730344e-03
277,-10.100000,-22.500000,-7.104299e-03,-3.247329e-15
278,-31.079642,-13.879422,-5.660245e-03,5.959754e-04
279,-34.040000,-22.500000,-4.215680e-03,-2.430990e-16
280,-25.060974,-13.018417,-8.900992e-03,-3.386831e-03
281,2.797209,-18.735814,8.103358e-03,-1.075259e-02
282,0.107653,-20.316213,4.727082e-03,-6.369266e-03
283,5.860000,-20.311720,1.171743e-02,-5.763130e-03
284,9.079469,-19.109085,1.478165e-02,-7.519043e-03
285,6.302840,-16.586610,1.208105e-02,-1.545993e-02
286,-27.324004,-18.787847,-8.646540e-03,-7.247273e-04
287,-22.534717,-11.344530,-9.417616e-03,-6.551874e-03
288,-21.827112,-15.155735,-1.055339e-02,-5.197931e-03
289,-25.228174,-16.243583,-9.386494e-03,-2.366125e-03
290,-23.400000,-22.500000,-1.070022e-02,-2.338627e-15
291,-30.566237,-18.193112,-6.634834e-03,9.236180e-05
292,-22.520709,-18.847752,-1.041619e-02,-2.419475e-03
293,-3.672500,4.190000,6.197082e-03,-1.267869e-01
294,-39.360000,-18.122500,-1.878617e-15,1.121027e-03
295,-33.184664,-16.317354,-4.606214e-03,9.542278e-04
296,-36.590884,-15.795911,-2.064192e-03,1.590703e-03
297,-35.937580,-19.384677,-2.723248e-03,7.145146e-04
298,-31.380000,-22.500000,-6.136019e-03,-3.055302e-16
